date, pm25, pm10, o3, no2, so2, co
2021/4/1, 70, 21, 11, , , 
2021/4/2, 50, 30, 23, , , 
2021/4/3, 66, 27, 8, , , 
2021/4/4, 62, 19, 4, , , 
2021/4/5, 67, , , , , 
2021/3/1, 91, 25, 9, 4, , 
2021/3/2, 65, 22, 7, 2, , 
2021/3/3, 52, 30, 17, 4, , 
2021/3/4, 73, 27, 17, 3, , 
2021/3/5, 63, 32, 19, 3, , 
2021/3/6, 71, 35, 24, 1, , 
2021/3/7, 77, 37, 22, 5, , 
2021/3/8, 116, 43, 16, 8, , 
2021/3/9, 110, 46, 15, 9, , 
2021/3/10, 115, 44, 26, 12, , 
2021/3/11, 116, 42, 22, 8, , 
2021/3/12, 107, 43, 24, 7, , 
2021/3/13, 108, 47, 21, 2, , 
2021/3/14, 120, 45, 14, , , 
2021/3/15, 97, 39, 15, , , 
2021/3/16, 84, 42, 14, , , 
2021/3/17, 96, 46, 19, , , 
2021/3/18, 119, 41, 21, , , 
2021/3/19, 110, 44, 18, , , 
2021/3/20, 102, 37, 17, , , 
2021/3/21, 87, 44, 12, , , 
2021/3/22, 108, 36, 29, , , 
2021/3/23, 99, 52, 37, , , 
2021/3/24, 133, 50, 32, , , 
2021/3/25, 115, 30, 21, , , 
2021/3/26, 60, 31, 12, , , 
2021/3/27, 67, 26, 16, , , 
2021/3/28, 64, 26, 17, , , 
2021/3/29, 62, 41, 23, , , 
2021/3/30, 92, 38, 21, , , 
2021/3/31, 88, 44, 19, , , 
2021/2/1, 147, 61, 27, , , 
2021/2/2, 131, 57, 25, , , 
2021/2/3, 136, 59, 25, , , 
2021/2/4, 138, 51, 32, , , 
2021/2/5, 128, 54, 23, , , 
2021/2/6, 133, 62, 39, , , 
2021/2/7, 150, 49, 18, , , 
2021/2/8, 121, 34, 23, , , 
2021/2/9, 100, 31, 26, , , 
2021/2/10, 74, 38, 31, 16, , 
2021/2/11, 94, 41, 32, 17, , 
2021/2/12, 108, 49, 14, 11, , 
2021/2/13, 126, 39, 4, 6, , 
2021/2/14, 105, 38, 13, 6, , 
2021/2/15, 98, 39, 16, 5, , 
2021/2/16, 94, 44, 11, 8, , 
2021/2/17, 104, 52, 9, 9, , 
2021/2/18, 130, 41, 13, 10, , 
2021/2/19, 110, 43, 21, 13, , 
2021/2/20, 106, 55, 27, 15, , 
2021/2/21, 149, 58, 17, 8, , 
2021/2/22, 150, 48, 19, 6, , 
2021/2/23, 115, 54, 10, 6, , 
2021/2/24, 137, 54, 24, 8, , 
2021/2/25, 133, 50, 23, 6, , 
2021/2/26, 136, 52, 23, 5, , 
2021/2/27, 137, 51, 9, 2, , 
2021/2/28, 137, 25, 5, , , 
2021/1/4, 87, 38, 31, , , 
2021/1/5, 93, 47, 38, , , 
2021/1/6, 116, 43, 38, , , 
2021/1/7, 104, 39, 26, , , 
2021/1/8, 84, 32, 33, , , 
2021/1/9, 66, , 39, , , 
2021/1/13, 125, 63, 61, , , 
2021/1/14, 160, 63, 45, , , 
2021/1/15, 160, 67, 53, , , 
2021/1/16, 158, 51, 32, , , 
2021/1/17, 150, , 31, , , 
2021/1/19, 125, 60, 45, , , 
2021/1/20, 154, 59, 31, , , 
2021/1/21, 151, 66, 62, , , 
2021/1/22, 158, 70, 63, , , 
2021/1/23, 165, 50, 47, , , 
2021/1/24, 123, 39, 62, , , 
2021/1/25, 102, 43, , , , 
2021/1/26, 102, 50, 22, , , 
2021/1/27, 118, 42, 9, , , 
2021/1/28, 103, 55, 15, , , 
2021/1/29, 125, 55, 22, , , 
2021/1/30, 139, 54, 28, , , 
2021/1/31, 132, 59, 33, , , 
2020/10/1, 26, 14, , , , 
2020/10/2, 39, 16, , , , 
2020/10/3, 51, 23, , , , 
2020/10/4, 51, 20, , , , 
2020/10/5, 54, 23, , , , 
2020/10/6, 54, 20, , , , 
2020/10/7, 53, 15, , , , 
2020/10/8, 38, 12, , , , 
2020/10/9, 35, 13, , , , 
2020/10/10, 32, 20, , , , 
2020/10/11, 47, 29, , , , 
2020/10/12, 71, 18, , , , 
2020/10/13, 58, 19, , , , 
2020/10/14, 53, 21, , , , 
2020/10/15, 43, 14, , , , 
2020/10/16, 40, 7, , , , 
2020/10/17, 21, 9, , , , 
2020/10/18, 23, 16, , , , 
2020/10/19, 38, 19, , , , 
2020/10/20, 36, 18, , , , 
2020/10/21, 39, 23, , , , 
2020/10/22, 54, 33, , , , 
2020/10/23, 76, 41, , , , 
2020/10/24, 92, 47, , , , 
2020/10/25, 102, 48, , , , 
2020/10/26, 106, 31, , , , 
2020/10/27, 75, 25, , , , 
2020/10/28, 69, 22, 6, , , 
2020/10/29, 55, 20, 10, , , 
2020/10/30, 54, 21, 10, , , 
2020/10/31, 57, 17, 8, , , 
2020/11/1, 44, 26, 18, , , 
2020/11/2, 61, 27, 20, , , 
2020/11/3, 66, 32, 24, , , 
2020/11/4, 85, 33, , , , 
2020/11/5, 87, 35, , , , 
2020/11/6, 73, 28, , , , 
2020/11/7, 67, 36, , , , 
2020/11/8, 88, 35, , , , 
2020/11/9, 93, 41, , , , 
2020/11/10, 93, 36, , , , 
2020/11/11, 81, 26, , , , 
2020/11/12, 71, 43, , , , 
2020/11/13, 95, 44, , , , 
2020/11/14, 112, 46, , , , 
2020/11/15, 116, 27, , , , 
2020/11/16, 74, 31, , , , 
2020/11/17, 78, 37, , , , 
2020/11/18, 85, 38, , , , 
2020/11/19, 96, 47, , , , 
2020/11/20, 119, 39, , , , 
2020/11/21, 87, 26, , , , 
2020/11/22, 67, 31, , , , 
2020/11/23, 70, 27, , , , 
2020/11/24, 59, 29, 17, , , 
2020/11/25, 57, 31, 27, , , 
2020/11/26, 57, 25, 24, , , 
2020/11/27, 47, 32, 35, , , 
2020/11/28, 66, 27, 38, , , 
2020/11/29, 61, 24, 34, , , 
2020/11/30, 51, 24, 34, , , 
2020/12/1, 58, 24, 38, , , 
2020/12/2, 54, 27, 40, , , 
2020/12/3, 61, 32, 42, , , 
2020/12/4, 71, 29, 31, , , 
2020/12/5, 72, 27, 19, , , 
2020/12/6, 67, 38, 20, , , 
2020/12/7, 88, 37, 19, , , 
2020/12/8, 82, 39, 20, , , 
2020/12/9, 93, 41, 22, , , 
2020/12/10, 109, 49, 23, , , 
2020/12/11, 129, 48, 24, , , 
2020/12/12, 123, 48, 16, , , 
2020/12/13, 120, 54, 15, , , 
2020/12/14, 135, 55, 7, , , 
2020/12/15, 129, 42, , , , 
2020/12/16, 98, 33, , , , 
2020/12/17, 67, 32, , , , 
2020/12/18, 65, 29, , , , 
2020/12/19, 55, 27, , , , 
2020/12/20, 57, 30, 24, , , 
2020/12/21, 64, 37, 26, , , 
2020/12/22, 87, 42, 30, , , 
2020/12/23, 108, 41, 36, , , 
2020/12/24, 106, 40, 16, , , 
2020/12/25, 97, 41, 24, , , 
2020/12/26, 101, 38, 27, , , 
2020/12/27, 99, 35, 11, , , 
2020/12/28, 89, 38, 4, , , 
2020/12/29, 94, 43, 21, , , 
2020/12/30, 98, 28, 38, , , 
2020/12/31, 63, 28, 38, , , 
2021/1/1, 73, 30, 37, , , 
2021/1/2, 74, 38, 45, , , 
2021/1/3, 96, 34, 35, , , 
2020/7/1, 24, 18, , , , 
2020/7/2, 41, 16, , , , 
2020/7/3, 34, 26, , , , 
2020/7/4, 52, 17, , , , 
2020/7/5, 39, 12, , , , 
2020/7/6, 32, 15, , , , 
2020/7/7, 39, 29, , , , 
2020/7/8, 58, 14, , , , 
2020/7/9, 39, 12, , , , 
2020/7/10, 37, 20, , , , 
2020/7/11, 54, 16, , , , 
2020/7/12, 42, 16, , , , 
2020/7/13, 37, 13, , , , 
2020/7/14, 32, 16, , , , 
2020/7/15, 41, 15, , , , 
2020/7/16, 32, 23, 8, 8, , 
2020/7/17, 55, 17, 20, 8, , 
2020/7/18, 42, 18, 19, 3, , 
2020/7/19, 45, 23, 14, 10, , 
2020/7/20, 60, 20, 14, 11, , 
2020/7/21, 55, 24, 17, 11, , 
2020/7/22, 58, 26, 21, 8, , 
2020/7/23, 67, 18, , , , 
2020/7/24, 44, 21, , , , 
2020/7/25, 49, 22, , , , 
2020/7/26, 56, 20, , , , 
2020/7/27, 45, 7, , , , 
2020/7/28, 9, 12, 11, 6, , 
2020/7/29, 35, 13, 12, 6, , 
2020/7/30, 24, 11, 13, 5, , 
2020/7/31, 28, 10, 8, 5, , 
2020/8/1, 18, 11, 6, 4, , 
2020/8/2, 23, 9, 6, 4, , 
2020/8/3, 26, 18, 7, 4, , 
2020/8/4, 41, 13, 10, 7, , 
2020/8/5, 38, 16, 16, 7, , 
2020/8/6, 38, 16, 6, 10, , 
2020/8/7, 43, 16, 9, 6, , 
2020/8/8, 34, 24, 8, 3, , 
